   1: 8C TS KC 9H 4S vs. 7D 2S 5D 3S AC; P2 wins!
 695: AD 3C 4H QS 8C vs. 9D KS 2H 2D 4D; P2 wins!
 696: 4S 9D 6C 6D 9C vs. AC 8D 3H 7H KD; P1 wins!
 697: JC AH 6C TS JD vs. 6D AD 3S 5D QD; P1 wins!
 698: JC JH JD 3S 7S vs. 8S JS QC 3H 4S; P1 wins!
 699: JD TH 5C 2C AD vs. JS 7H 9S 2H 7S; P2 wins!
 700: 8D 3S JH 4D QC vs. AS JD 2C KC 6H; P2 wins!
 701: 2C AC 5H KD 5S vs. 7H QD JH AH 2D; P1 wins!
 702: JC QH 8D 8S TC vs. 5H 5C AH 8C 6C; P1 wins!
 703: 3H JS 8S QD JH vs. 3C 4H 6D 5C 3S; P1 wins!
 704: 6D 4S 4C AH 5H vs. 5S 3H JD 7C 8D; P1 wins!
 705: 8H AH 2H 3H JS vs. 3C 7D QC 4H KD; P1 wins!
 706: 6S 2H KD 5H 8H vs. 2D 3C 8S 7S QD; P1 wins!
 707: 2S 7S KC QC AH vs. TC QS 6D 4C 8D; P1 wins!
 708: 5S 9H 2C 3S QD vs. 7S 6C 2H 7C 9D; P2 wins!
 709: 3C 6C 5C 5S JD vs. JC KS 3S 5D TS; P1 wins!
 710: 7C KS 6S 5S 2S vs. 2D TC 2H 5H QS; P2 wins!
 711: AS 7H 6S TS 5H vs. 9S 9D 3C KD 2H; P2 wins!
 712: 4S JS QS 3S 4H vs. 7C 2S AC 6S 9D; P1 wins!
 713: 8C JH 2H 5H 7C vs. 5D QH QS KH QC; P2 wins!
 714: 3S TD 3H 7C KC vs. 8D 5H 8S KH 8C; P2 wins!
 715: 4H KH JD TS 3C vs. 7H AS QC JS 5S; P2 wins!
 716: AH 9D 2C 8D 4D vs. 2D 6H 6C KC 6S; P2 wins!
 717: 2S 6H 9D 3S 7H vs. 4D KH 8H KD 3D; P2 wins!
 718: 9C TC AC JH KH vs. 4D JD 5H TD 3S; P1 wins!
 719: 7S 4H 9D AS 4C vs. 7D QS 9S 2S KH; P1 wins!
 720: 3S 8D 8S KS 8C vs. JC 5C KH 2H 5D; P1 wins!
 721: 8S QH 2C 4D KC vs. JS QC 9D AC 6H; P2 wins!
 722: 8S 8C 7C JS JD vs. 6S 4C 9C AC 4S; P1 wins!
 723: QH 5D 2C 7D JC vs. 8S 2D JS JH 4C; P2 wins!
 724: JS 4C 7S TS JH vs. KC KH 5H QD 4S; P2 wins!
 725: QD 8C 8D 2D 6S vs. TD 9D AC QH 5S; P1 wins!
 726: QH QC JS 3D 3C vs. 5C 4H KH 8S 7H; P1 wins!
 727: 7C 2C 5S JC 8S vs. 3H QC 5D 2H KC; P2 wins!
 728: 5S 8D KD 6H 4H vs. QD QH 6D AH 3D; P2 wins!
 729: 7S KS 6C 2S 4D vs. AC QS 5H TS JD; P2 wins!
 730: 7C 2D TC 5D QS vs. AC JS QC 6C KC; P2 wins!
 731: 2C KS 4D 3H TS vs. 8S AD 4H 7S 9S; P2 wins!
 732: QD 9H QH 5H 4H vs. 4D KH 3S JC AD; P1 wins!
 733: 4D AC KC 8D 6D vs. 4C 2D KH 2C JD; P2 wins!
 734: 2C 9H 2D AH 3H vs. 6D 9C 7D TC KS; P1 wins!
 735: 8C 3H KD 7C 5C vs. 2S 4S 5H AS AH; P2 wins!
 736: TH JD 4H KD 3H vs. TC 5C 3S AC KH; P2 wins!
 737: 6D 7H AH 7S QC vs. 6H 2D TD JD AS; P1 wins!
 738: JH 5D 7H TC 9S vs. 7D JC AS 5S KH; P2 wins!
 739: 2H 8C AD TH 6H vs. QD KD 9H 6S 6C; P2 wins!
 740: QH KC 9D 4D 3S vs. JS JH 4H 2C 9H; P2 wins!
 741: TC 7H KH 4H JC vs. 7D 9S 3H QS 7S; P2 wins!
 742: AD 7D JH 6C 7H vs. 4H 3S 3H 4D QH; P2 wins!
 743: JD 2H 5C AS 6C vs. QC 4D 3C TC JH; P1 wins!
 744: AC JD 3H 6H 4C vs. JC AD 7D 7H 9H; P2 wins!
 745: 4H TC TS 2C 8C vs. 6S KS 2H JD 9S; P1 wins!
 746: 4C 3H QS QC 9S vs. 9H 6D KC 9D 9C; P2 wins!
 747: 5C AD 8C 2C QH vs. TH QD JC 8D 8H; P2 wins!
 748: QC 2C 2S QD 9C vs. 4D 3S 8D JH QS; P1 wins!
 749: 9D 3S 2C 7S 7C vs. JC TD 3C TC 9H; P2 wins!
 750: 3C TS 8H 5C 4C vs. 2C 6S 8D 7C 4H; P1 wins!
 751: KS 7H 2H TC 4H vs. 2C 3S AS AH QS; P2 wins!
 752: 8C 2D 2H 2C 4S vs. 4C 6S 7D 5S 3S; P2 wins!
 753: TH QC 5D TD 3C vs. QS KD KC KS AS; P2 wins!
 754: 4D AH KD 9H KS vs. 5C 4C 6H JC 7S; P1 wins!
 755: KC 4H 5C QS TC vs. 2H JC 9S AH QH; P2 wins!
 756: 4S 9H 3H 5H 3C vs. QD 2H QC JH 8H; P2 wins!
 757: 5D AS 7H 2C 3D vs. JH 6H 4C 6S 7D; P2 wins!
 758: 9C JD 9H AH JS vs. 8S QH 3H KS 8H; P1 wins!
 759: 3S AC QC TS 4D vs. AD 3D AH 8S 9H; P2 wins!
 760: 7H 3H QS 9C 9S vs. 5H JH JS AH AC; P2 wins!
 761: 8D 3C JD 2H AC vs. 9C 7H 5S 4D 8H; P1 wins!
 762: 7C JH 9H 6C JS vs. 9S 7H 8C 9D 4H; P2 wins!
 763: 2D AS 9S 6H 4D vs. JS JH 9H AD QD; P2 wins!
 764: 6H 7S JH KH AH vs. 7H TD 5S 6S 2C; P1 wins!
 765: 8H JH 6S 5H 5S vs. 9D TC 4C QC 9S; P1 wins!
 766: 7D 2C KD 3H 5H vs. AS QD 7H JS 4D; P2 wins!
 767: TS QH 6C 8H TH vs. 5H 3C 3H 9C 9D; P2 wins!
 768: AD KH JS 5D 3H vs. AS AC 9S 5C KC; P2 wins!
 769: 2C KH 8C JC QS vs. 6D AH 2D KC TC; P2 wins!
 770: 9D 3H 2S 7C 4D vs. 6D KH KS 8D 7D; P2 wins!
 771: 9H 2S TC JH AC vs. QC 3H 5S 3S 8H; P2 wins!
 772: 3S AS KD 8H 4C vs. 3H 7C JH QH TS; P1 wins!
 773: 7S 6D 7H 9D JH vs. 4C 3D 3S 6C AS; P1 wins!
 774: 4S 2H 2C 4C 8S vs. 5H KC 8C QC QD; P2 wins!
 775: 3H 3S 6C QS QC vs. 2D 6S 5D 2C 9D; P1 wins!
 776: 2H 8D JH 2S 3H vs. 2D 6C 5C 7S AD; P1 wins!
 777: 9H JS 5D QH 8S vs. TS 2H 7S 6S AD; P2 wins!
 778: 6D QC 9S 7H 5H vs. 5C 7D KC JD 4H; P2 wins!
 779: QC 5S 9H 9C 4D vs. 6S KS 2S 4C 7C; P1 wins!
 780: 9H 7C 4H 8D 3S vs. 6H 5C 8H JS 7S; P2 wins!
 781: 2D 6H JS TD 4H vs. 4D JC TH 5H KC; P2 wins!
 782: AC 7C 8D TH 3H vs. 9S 2D 4C KC 4D; P2 wins!
 783: KD QS 9C 7S 3D vs. KS AD TS 4C 4H; P2 wins!
 784: QH 9C 8H 2S 7D vs. KS 7H 5D KD 4C; P2 wins!
 785: 9C 2S 2H JC 6S vs. 6C TC QC JH 5C; P1 wins!
 786: 7S AC 8H KC 8S vs. 6H QS JC 3D 6S; P1 wins!
 787: JS 2D JH 8C 4S vs. 6H 8H 6D 5D AD; P1 wins!
 788: 6H 7D 2S 4H 9H vs. 7C AS AC 8H 5S; P2 wins!
 789: 3C JS 4S 6D 5H vs. 2S QH 6S 9C 2C; P2 wins!
 790: 3D 5S 6S 9S 4C vs. QS 8D QD 8S TC; P2 wins!
 791: 9C 3D AH 9H 5S vs. 2C 7D AD JC 3S; P1 wins!
 792: 7H TC AS 3C 6S vs. 6D 7S KH KC 9H; P2 wins!
 793: 3S TC 8H 6S 5H vs. JH 8C 7D AC 2S; P2 wins!
 794: QD 9D 9C 3S JC vs. 8C KS 8H 5D 4D; P1 wins!
 795: JS AH JD 6D 9D vs. 8C 9H 9S 8H 3H; P2 wins!
 796: 2D 6S 4C 4D 8S vs. AD 4S TC AH 9H; P2 wins!
 797: TS AC QC TH KC vs. 6D 4H 7S 8C 2H; P1 wins!
 798: 3C QD JS 9D 5S vs. JC AH 2H TS 9H; P2 wins!
 799: 3H 4D QH 5D 9C vs. 5H 7D 4S JC 3S; P1 wins!
 800: 8S TH 3H 7C 2H vs. JD JS TS AC 8D; P2 wins!
 801: 9C 2H TD KC JD vs. 2S 8C 5S AD 2C; P2 wins!
 802: 3D KD 7C 5H 4D vs. QH QD TC 6H 7D; P2 wins!
 803: 7H 2C KC 5S KD vs. 6H AH QC 7S QH; P1 wins!
 804: 6H 5C AC 5H 2C vs. 9C 2D 7C TD 2S; P1 wins!
 805: 4D 9D AH 3D 7C vs. JD 4H 8C 4C KS; P2 wins!
 806: TH 3C JS QH 8H vs. 4C AS 3D QS QC; P2 wins!
 807: 4D 7S 5H JH 6D vs. 7D 6H JS KH 3C; P2 wins!
 808: QD 8S 7D 2H 2C vs. 7C JC 2S 5H 8C; P1 wins!
 809: QH 8S 9D TC 2H vs. AD 7C 8D QD 6S; P2 wins!
 810: 3S 7C AD 9H 2H vs. 9S JD TS 4C 2D; P1 wins!
 811: 3S AS 4H QC 2C vs. 8H 8S 7S TD TC; P2 wins!
 812: JH TH TD 3S 4D vs. 4H 5S 5D QS 2C; P1 wins!
 813: 8C QD QH TC 6D vs. 4S 9S 9D 4H QC; P2 wins!
 814: 8C JS 9D 6H JD vs. 3H AD 6S TD QC; P1 wins!
 815: KC 8S 3D 7C TD vs. 7D 8D 9H 4S 3S; P1 wins!
 816: 6C 4S 3D 9D KD vs. TC KC KS AC 5S; P2 wins!
 817: 7C 6S QH 3D JS vs. KD 6H 6D 2D 8C; P2 wins!
 818: JD 2S 5S 4H 8S vs. AC 2D 6S TS 5C; P2 wins!
 819: 5H 8C 5S 3C 4S vs. 3D 7C 8D AS 3H; P1 wins!
 820: AS TS 7C 3H AD vs. 7D JC QS 6C 6H; P1 wins!
 821: 3S 9S 4C AC QH vs. 5H 5D 9H TS 4H; P2 wins!
 822: 6C 5C 7H 7S TD vs. AD JD 5S 2H 2S; P1 wins!
 823: 7D 6C KC 3S JD vs. 8D 8S TS QS KH; P2 wins!
 824: 8S QS 8D 6C TH vs. AC AH 2C 8H 9S; P2 wins!
 825: 7H TD KH QH 8S vs. 3D 4D AH JD AS; P2 wins!
 826: TS 3D 2H JC 2S vs. JH KH 6C QC JS; P2 wins!
 827: KC TH 2D 6H 7S vs. 2S TC 8C 9D QS; P1 wins!
 828: 3C 9D 6S KH 8H vs. 6D 5D TH 2C 2H; P2 wins!
 829: 6H TC 7D AD 4D vs. 8S TS 9H TD 7S; P2 wins!
 830: JS 6D JD JC 2H vs. AC 6C 3D KH 8D; P1 wins!
 831: KH JD 9S 5D 4H vs. 4C 3H 7S QS 5C; P1 wins!
 832: 4H JD 5D 3S 3C vs. 4D KH QH QS 7S; P2 wins!
 833: JD TS 8S QD AH vs. 4C 6H 3S 5S 2C; P2 wins!
 834: QS 3D JD AS 8D vs. TH 7C 6S QC KS; P1 wins!
 835: 7S 2H 8C QC 7H vs. AC 6D 2D TH KH; P1 wins!
 836: 5S 6C 7H KH 7D vs. AH 8C 5C 7S 3D; P1 wins!
 837: 3C KD AD 7D 6C vs. 4D KS 2D 8C 4S; P2 wins!
 838: 7C 8D 5S 2D 2S vs. AH AD 2C 9D TD; P2 wins!
 839: 3C AD 4S KS JH vs. 7C 5C 8C 9C TH; P1 wins!
 840: AS TD 4D 7C JD vs. 8C QH 3C 5H 9S; P1 wins!
 841: 3H 9C 8S 9S 6S vs. QD KS AH 5H JH; P1 wins!
 842: QC 9C 5S 4H 2H vs. TD 7D AS 8C 9D; P2 wins!
 843: 8C 2C 9D KD TC vs. 7S 3D KH QC 3C; P2 wins!
 844: 4D AS 4C QS 5S vs. 9D 6S JD QH KS; P1 wins!
 845: 6D AH 6C 4C 5H vs. TS 9H 7D 3D 5S; P1 wins!
 846: QS JD 7C 8D 9C vs. AC 3S 6S 6C KH; P2 wins!
 847: 8H JH 5D 9S 6D vs. AS 6S 3S QC 7H; P2 wins!
 848: QD AD 5C JH 2H vs. AH 4H AS KC 2C; P2 wins!
 849: JH 9C 2C 6H 2D vs. JS 5D 9H KC 6D; P1 wins!
 850: 7D 9D KD TH 3H vs. AS 6S QC 6H AD; P2 wins!
 851: JD 4H 7D KC 3H vs. JS 3C TH 3D QS; P2 wins!
 852: 4C 3H 8C QD 5H vs. 6H AS 8H AD JD; P2 wins!
 853: TH 8S KD 5D QC vs. 7D JS 5S 5H TS; P2 wins!
 854: 7D KC 9D QS 3H vs. 3C 6D TS 7S AH; P2 wins!
 855: 7C 4H 7H AH QC vs. AC 4D 5D 6D TH; P1 wins!
 856: 3C 4H 2S KD 8H vs. 5H JH TC 6C JD; P2 wins!
 857: 4S 8C 3D 4H JS vs. TD 7S JH QS KD; P1 wins!
 858: 7C QC KD 4D 7H vs. 6S AD TD TC KH; P2 wins!
 859: 5H 9H KC 3H 4D vs. 3D AD 6S QD 6H; P2 wins!
 860: TH 7C 6H TS QH vs. 5S 2C KC TD 6S; P1 wins!
 861: 7C 4D 5S JD JH vs. 7D AC KD KH 4H; P2 wins!
 862: 7D 6C 8D 8H 5C vs. JH 8S QD TH JD; P2 wins!
 863: 8D 7D 6C 7C 9D vs. KD AS 5C QH JH; P1 wins!
 864: 9S 2C 8C 3C 4C vs. KS JH 2D 8D 4H; P2 wins!
 865: 7S 6C JH KH 8H vs. 3H 9D 2D AH 6D; P2 wins!
 866: 4D TC 9C 8D 7H vs. TD KS TH KD 3C; P2 wins!
 867: JD 9H 8D QD AS vs. KD 9D 2C 2S 9C; P2 wins!
 868: 8D 3H 5C 7H KS vs. 5H QH 2D 8C 9H; P1 wins!
 869: 2D TH 6D QD 6C vs. KC 3H 3S AD 4C; P1 wins!
 870: 4H 3H JS 9D 3C vs. TC 5H QH QC JC; P2 wins!
 871: 3D 5C 6H 3S 3C vs. JC 5S 7S 2S QH; P1 wins!
 872: AC 5C 8C 4D 5D vs. 4H 2S QD 3C 3H; P1 wins!
 873: 2C TD AH 9C KD vs. JS 6S QD 4C QC; P2 wins!
 874: QS 8C 3S 4H TC vs. JS 3H 7C JC AD; P2 wins!
 875: 5H 4D 9C KS JC vs. TD 9S TS 8S 9H; P2 wins!
 876: QD TS 7D AS AC vs. 2C TD 6H 8H AH; P1 wins!
 877: 6S AD 8C 4S 9H vs. 8D 9D KH 8S 3C; P2 wins!
 878: QS 4D 2D 7S KH vs. JS JC AD 4C 3C; P2 wins!
 879: QS 9S 7H KC TD vs. TH 5H JS AC JH; P2 wins!
 880: 6D AC 2S QS 7C vs. AS KS 6S KH 5S; P2 wins!
 881: 6D 8H KH 3C QS vs. 2H 5C 9C 9D 6C; P2 wins!
 882: JS 2C 4C 6H 7D vs. JC AC QD TD 3H; P2 wins!
 883: 4H QC 8H JD 4C vs. KD KS 5C KC 7S; P2 wins!
 884: 6D 2D 3H 2S QD vs. 5S 7H AS TH 6S; P1 wins!
 885: AS 6D 8D 2C 8S vs. TD 8H QD JC AH; P1 wins!
 886: 9C 9H 2D TD QH vs. 2H 5C TC 3D 8H; P1 wins!
 887: KC 8S 3D KH 2S vs. TS TC 6S 4D JH; P1 wins!
 888: 9H 9D QS AC KC vs. 6H 5D 4D 8D AH; P1 wins!
 889: 9S 5C QS 4H 7C vs. 7D 2H 8S AD JS; P2 wins!
 890: 3D AC 9S AS 2C vs. 2D 2H 3H JC KH; P1 wins!
 891: 7H QH KH JD TC vs. KS 5S 8H 4C 8D; P2 wins!
 892: 2H 7H 3S 2S 5H vs. QS 3C AS 9H KD; P1 wins!
 893: AD 3D JD 6H 5S vs. 9C 6D AC 9S 3S; P2 wins!
 894: 3D 5D 9C 2D AC vs. 4S 2S AD 6C 6S; P2 wins!
 895: QC 4C 2D 3H 6S vs. KC QH QD 2H JH; P2 wins!
 896: QC 3C 8S 4D 9S vs. 2H 5C 8H QS QD; P2 wins!
 897: 6D KD 6S 7H 3S vs. KH 2H 5C JC 6C; P1 wins!
 898: 3S 9S TC 6S 8H vs. 2D AD 7S 8S TS; P2 wins!
 899: 3C 6H 9C 3H 5C vs. JC 8H QH TD QD; P2 wins!
 900: 3C JS QD 5D TD vs. 2C KH 9H TH AS; P2 wins!
 901: 9S TC JD 3D 5C vs. 5H AD QH 9H KC; P2 wins!
 902: TC 7H 4H 8H 3H vs. TD 6S AC 7C 2S; P2 wins!
 903: QS 9D 5D 3C JC vs. KS 4D 6C JH 2S; P2 wins!
 904: 9S 6S 3C 7H TS vs. 4C KD 6D 3D 9C; P2 wins!
 905: 2D 9H AH AC 7H vs. 2S JH 3S 7C QC; P1 wins!
 906: QD 9H 3C 2H AC vs. AS 8S KD 8C KH; P2 wins!
 907: 2D 7S TD TH 6D vs. JD 8D 4D 2H 5S; P1 wins!
 908: 8S QH KD JD QS vs. JH 4D KC 5H 3S; P1 wins!
 909: 3C KH QC 6D 8H vs. 3S AH 7D TD 2D; P2 wins!
 910: 5S 9H QH 4S 6S vs. 6C 6D TS TH 7S; P2 wins!
 911: 6C 4C 6D QS JS vs. 9C TS 3H 8D 8S; P2 wins!
 912: JS 5C 7S AS 2C vs. AH 2H AD 5S TC; P2 wins!
 913: KD 6C 9C 9D TS vs. 2S JC 4H 2C QD; P1 wins!
 914: QS 9H TC 3H KC vs. KS 4H 3C AD TH; P2 wins!
 915: KH 9C 2H KD 9D vs. TC 7S KC JH 2D; P1 wins!
 916: 7C 3S KC AS 8C vs. 5D 9C 9S QH 3H; P2 wins!
 917: 2D 8C TD 4C 2H vs. QC 5D TC 2C 7D; P1 wins!
 918: KS 4D 6C QH TD vs. KH 5D 7C AD 8D; P2 wins!
 919: 2S 9S 8S 4C 8C vs. 3D 6H QD 7C 7H; P1 wins!
 920: 6C 8S QH 5H TS vs. 5C 3C 4S 2S 2H; P2 wins!
 921: 8S 6S 2H JC 3S vs. 3H 9D 8C 2S 7H; P1 wins!
 922: QC 2C 8H 9C AC vs. JD 4C 4H 6S 3S; P2 wins!
 923: 3H 3S 7D 4C 9S vs. 5H 8H JC 3D TC; P1 wins!
 924: QH 2S 2D 9S KD vs. QD 9H AD 6D 9C; P1 wins!
 925: 8D 2D KS 9S JC vs. 4C JD KC 4S TH; P2 wins!
 926: KH TS 6D 4D 5C vs. KD 5H AS 9H AD; P2 wins!
 927: QD JS 7C 6D 5D vs. 5C TH 5H QH QS; P2 wins!
 928: 9D QH KH 5H JH vs. 4C 4D TC TH 6C; P2 wins!
 929: KH AS TS 9D KD vs. 9C 7S 4D 8H 5S; P1 wins!
 930: KH AS 2S 7D 9D vs. 4C TS TH AH 7C; P2 wins!
 931: KS 4D AC 8S 9S vs. 8D TH QH 9D 5C; P1 wins!
 932: 5D 5C 8C QS TC vs. 4C 3D 3S 2C 8D; P1 wins!
 933: 9D KS 2D 3C KC vs. 4S 8C KH 6C JC; P1 wins!
 934: 8H AH 6H 7D 7S vs. QD 3C 4C 6C KC; P1 wins!
 935: 3H 2C QH 8H AS vs. 7D 4C 8C 4H KC; P2 wins!
 936: QD 5S 4H 2C TD vs. AH JH QH 4C 8S; P2 wins!
 937: 3H QS 5S JS 8H vs. 2S 9H 9C 3S 2C; P2 wins!
 938: 6H TS 7S JC QD vs. AC TD KC 5S 3H; P2 wins!
 939: QH AS QS 7D JC vs. KC 2C 4C 5C 5S; P1 wins!
 940: QH 3D AS JS 4H vs. 8D 7H JC 2S 9C; P1 wins!
 941: 5D 4D 2S 4S 9D vs. 9C 2D QS 8H 7H; P1 wins!
 942: 6D 7H 3H JS TS vs. AC 2D JH 7C 8S; P2 wins!
 943: JH 5H KC 3C TC vs. 5S 9H 4C 8H 9D; P2 wins!
 944: 8S KC 5H 9H AD vs. KS 9D KH 8D AH; P2 wins!
 945: JC 2H 9H KS 6S vs. 3H QC 5H AH 9C; P2 wins!
 946: 5C KH 5S AD 6C vs. JC 9H QC 9C TD; P2 wins!
 947: 5S 5D JC QH 2D vs. KS 8H QS 2H TS; P1 wins!
 948: JH 5H 5S AH 7H vs. 3C 8S AS TD KH; P1 wins!
 949: 6H 3D JD 2C 4C vs. KC 7S AH 6C JH; P2 wins!
 950: 4C KS 9D AD 7S vs. KC 7D 8H 3S 9C; P1 wins!
 951: 7H 5C 5H 3C 8H vs. QC 3D KH 6D JC; P1 wins!
 952: 2D 4H 5D 7D QC vs. AD AH 9H QH 8H; P2 wins!
 953: KD 8C JS 9D 3S vs. 3C 2H 5D 6D 2S; P2 wins!
 954: 8S 6S TS 3C 6H vs. 8D 5S 3H TD 6C; P1 wins!
 955: KS 3D JH 9C 7C vs. 9S QS 5S 4H 6H; P1 wins!
 956: 7S 6S TH 4S KC vs. KD 3S JC JH KS; P2 wins!
 957: 7C 3C 2S 6D QH vs. 2C 7S 5H 8H AH; P2 wins!
 958: KC 8D QD 6D KH vs. 5C 7H 9D 3D 9C; P1 wins!
 959: 6H 2D 8S JS 9S vs. 2S 6D KC 7C TC; P2 wins!
 960: KD 9C JH 7H KC vs. 8S 2S 7S 3D 6H; P1 wins!
 961: 4H 9H 2D 4C 8H vs. 7H 5S 8S 2H 8D; P2 wins!
 962: AD 7C 3C 7S 5S vs. 4D 9H 3D JC KH; P1 wins!
 963: 5D AS 7D 6D 9C vs. JC 4C QH QS KH; P2 wins!
 964: KD JD 7D 3D QS vs. QC 8S 6D JS QD; P2 wins!
 965: 6S 8C 5S QH TH vs. 9H AS AC 2C JD; P2 wins!
 966: QC KS QH 7S 3C vs. 4C 5C KC 5D AH; P1 wins!
 967: 6C 4H 9D AH 2C vs. 3H KD 3D TS 5C; P2 wins!
 968: TD 8S QS AS JS vs. 3H KD AC 4H KS; P2 wins!
 969: 7D 5D TS 9H 4H vs. 4C 9C 2H 8C QC; P2 wins!
 970: 2C 7D 9H 4D KS vs. 4C QH AD KD JS; P2 wins!
 971: QD AD AH KH 9D vs. JS 9H JC KD JD; P2 wins!
 972: 8S 3C 4S TS 7S vs. 4D 5C 2S 6H 7C; P1 wins!
 973: JS 7S 5C KD 6D vs. QH 8S TD 2H 6S; P1 wins!
 974: QH 6C TC 6H TD vs. 4C 9D 2H QC 8H; P1 wins!
 975: 3D TS 4D 2H 6H vs. 6S 2C 7H 8S 6C; P2 wins!
 976: 9H 9D JD JH 3S vs. AH 2C 6S 3H 8S; P1 wins!
 977: 2C QS 8C 5S 3H vs. 2S 7D 3C AD 4S; P2 wins!
 978: 5C QC QH AS TS vs. 4S 6S 4C 5H JS; P1 wins!
 979: JH 5C TD 4C 6H vs. JS KD KH QS 4H; P2 wins!
 980: TC KH JC 4D 9H vs. 9D 8D KC 3C 8H; P2 wins!
 981: 2H TC 8S AD 9S vs. 4H TS 7H 2C 5C; P1 wins!
 982: 4H 2S 6C 5S KS vs. AH 9C 7C 8H KD; P2 wins!
 983: TS QH TD QS 3C vs. JH AH 2C 8D 7D; P1 wins!
 984: 5D KC 3H 5S AC vs. 4S 7H QS 4C 2H; P1 wins!
 985: 3D 7D QC KH JH vs. 6D 6C TD TH KD; P2 wins!
 986: 5S 8D TH 6C 9D vs. 7D KH 8C 9S 6D; P2 wins!
 987: JD QS 7S QC 2S vs. QH JC 4S KS 8D; P1 wins!
 988: 7S 5S 9S JD KD vs. 9C JC AD 2D 7C; P2 wins!
 989: 4S 5H AH JH 9C vs. 5D TD 7C 2D 6S; P1 wins!
 990: KC 6C 7H 6S 9C vs. QD 5S 4H KS TD; P1 wins!
 991: 6S 8D KS 2D TH vs. TD 9H JD TS 3S; P2 wins!
 992: KH JS 4H 5D 9D vs. TC TD QC JD TS; P2 wins!
 993: QS QD AC AD 4C vs. 6S 2D AS 3H KC; P1 wins!
 994: 4C 7C 3C TD QS vs. 9C KC AS 8D AD; P2 wins!
 995: KC 7H QC 6D 8H vs. 6S 5S AH 7S 8C; P2 wins!
 996: 3S AD 9H JC 6D vs. JD AS KH 6S JH; P2 wins!
 997: AD 3D TS KS 7H vs. JH 2D JS QD AC; P2 wins!
 998: 9C JD 7C 6D TC vs. 6H 6C JC 3D 3S; P2 wins!
 999: QC KC 3S JC KD vs. 2C 8D AH QS TS; P1 wins!
1000: AS KD 3D JD 8H vs. 7C 8C 5C QD 6C; P1 wins!

Summary: P1 (374 wins) vs. P2 (626 wins)
